TIMESPAN,PROPOSAL,PROPOSERS,FOR,CUMUL_FOR,AGAINST,CUMUL_AGAINST,ABSTAIN,CUMUL_ABSTAIN,VOTERS,VOTES,CUMUL_VOTES,VOTING_POWER
2021-11-06 00:00:00.000,1,1,5,5,"null","null",1,1,6,6,6,92
2021-11-07 00:00:00.000,2,2,171,176,1,1,1,2,172,173,179,42708944
2021-11-08 00:00:00.000,4,4,193,369,9,10,42,44,241,244,423,27355718
2021-11-09 00:00:00.000,5,4,123,492,4,14,12,56,133,139,562,32246601
2021-11-10 00:00:00.000,4,4,115,607,2,16,6,62,122,123,685,33157442
2021-11-11 00:00:00.000,1,1,1,608,1,17,"null",62,2,2,687,7
2021-11-12 00:00:00.000,2,2,2,610,4,21,"null",62,5,6,693,16
2021-11-13 00:00:00.000,3,3,115,725,3,24,"null",62,116,118,811,44164656
2021-11-14 00:00:00.000,1,1,9,734,"null",24,"null",62,9,9,820,6346924
2021-11-16 00:00:00.000,1,1,"null",734,2,26,"null",62,2,2,822,62
2021-11-17 00:00:00.000,1,1,"null",734,"null",26,3,65,3,3,825,21034
2021-11-18 00:00:00.000,2,2,1,735,1,27,5,70,7,7,832,23601
2021-11-19 00:00:00.000,1,1,1,736,1,28,"null",70,2,2,834,14
2021-11-20 00:00:00.000,2,2,61,797,4,32,2,72,67,67,901,675041827
2021-11-21 00:00:00.000,1,1,1,798,"null",32,"null",72,1,1,902,3781
2021-11-22 00:00:00.000,4,4,99,897,3,35,3,75,105,105,1007,42986235
2021-11-23 00:00:00.000,4,4,35,932,1,36,"null",75,36,36,1043,32101673
2021-11-24 00:00:00.000,3,3,8,940,2,38,"null",75,10,10,1053,2141233
2021-11-25 00:00:00.000,3,3,5,945,2,40,1,76,8,8,1061,10039233
2021-11-26 00:00:00.000,1,1,2,947,"null",40,"null",76,2,2,1063,420
2021-11-27 00:00:00.000,2,2,155,1102,2,42,"null",76,157,157,1220,56912334
2021-11-28 00:00:00.000,3,3,9,1111,1,43,"null",76,10,10,1230,872175
2021-11-29 00:00:00.000,2,2,4,1115,"null",43,1,77,5,5,1235,72583249
2021-12-01 00:00:00.000,1,1,5,1120,"null",43,"null",77,5,5,1240,158
2021-12-02 00:00:00.000,1,1,1,1121,"null",43,"null",77,1,1,1241,35
2021-12-03 00:00:00.000,1,1,1,1122,"null",43,"null",77,1,1,1242,10
2021-12-10 00:00:00.000,2,2,21,1143,92,135,12,89,125,125,1367,485030
2021-12-11 00:00:00.000,2,2,9,1152,61,196,4,93,74,74,1441,5252
2021-12-12 00:00:00.000,2,2,3,1155,35,231,1,94,39,39,1480,28565
2021-12-13 00:00:00.000,2,2,5,1160,23,254,2,96,30,30,1510,3302
2021-12-14 00:00:00.000,2,2,131,1291,"null",254,"null",96,131,131,1641,42799533
2021-12-15 00:00:00.000,1,1,18,1309,"null",254,"null",96,18,18,1659,6562073
2021-12-17 00:00:00.000,1,1,1,1310,30,284,"null",96,31,31,1690,145
