WALLET_SIZE,ENS,ARB_DELEGATED,USER_DELEGATED
+1000 ARB Delegation(TOP WALLETS),Princeton Blockhain Club,8391655.51906132,1237
500-1000 ARB Delegation(LARGE),Seamus,467734.622613987,512
100-500 ARB Delegation(MEDIUM),404 DAO,150343.022145848,273
500-1000 ARB Delegation(LARGE),Layer2DAO,988634.569574623,1056
100-500 ARB Delegation(MEDIUM),Zonic: NFT Marketplace,136163.02240525,246
100-500 ARB Delegation(MEDIUM),Anonymous(0x3d3),100.4,1
+1000 ARB Delegation(TOP WALLETS),Frisson,10559017.1766771,773
+1000 ARB Delegation(TOP WALLETS),mihal.eth,17794044.0019267,1537
100-500 ARB Delegation(MEDIUM),Seamus,127354.726028708,222
+1000 ARB Delegation(TOP WALLETS),coinflipcanada,20297285.0979717,1173
+1000 ARB Delegation(TOP WALLETS),Anonymous(0x49e9),541575.5911,2
+1000 ARB Delegation(TOP WALLETS),others,1149877372.22628,118347
0-100 ARB Delegation(SMALL),Alpha Insiders,102486.317226743,3487
100-500 ARB Delegation(MEDIUM),StableLab,110398.182842142,205
100-500 ARB Delegation(MEDIUM),Drake on Digital,108584.766274567,125
0-100 ARB Delegation(SMALL),The Lost Donkeys & Build,55049.380124023,2051
500-1000 ARB Delegation(LARGE),Princeton Blockhain Club,496451.453295172,502
500-1000 ARB Delegation(LARGE),Blockchain at Michigan,219978.577275896,231
100-500 ARB Delegation(MEDIUM),PrimapesDAO,196536.225601556,245
500-1000 ARB Delegation(LARGE),others,69640602.5394536,61396
100-500 ARB Delegation(MEDIUM),McFly,42942.987672684,87
+1000 ARB Delegation(TOP WALLETS),McFly,2319458.84655916,523
0-100 ARB Delegation(SMALL),Drake on Digital,40877.503902854,436
100-500 ARB Delegation(MEDIUM),DefragDAO,119888.731300844,165
500-1000 ARB Delegation(LARGE),yoav.eth,360293.015946334,371
0-100 ARB Delegation(SMALL),Penn Blockchain,11794.409347632,461
100-500 ARB Delegation(MEDIUM),GFX Labs,116048.507126274,255
500-1000 ARB Delegation(LARGE),galxe.eth,840663.520589702,922
500-1000 ARB Delegation(LARGE),The Other DAO,25476.486568152,27
100-500 ARB Delegation(MEDIUM),PlutusDAO,1339819.70286889,2832
100-500 ARB Delegation(MEDIUM),Princeton Blockhain Club,193551.081395271,259
0-100 ARB Delegation(SMALL),powerkee.eth,1413.875785462,48
+1000 ARB Delegation(TOP WALLETS),George Beall,11512248.9891926,1295
100-500 ARB Delegation(MEDIUM),The Lost Donkeys & Build,132684.770237822,280
0-100 ARB Delegation(SMALL),Arrakis Labs,40477.205686468,458
100-500 ARB Delegation(MEDIUM),George Beall,831817.145872427,238
500-1000 ARB Delegation(LARGE),RossDeFi.eth,334449.299669235,356
0-100 ARB Delegation(SMALL),coinflipcanada,55343.7146088,1686
100-500 ARB Delegation(MEDIUM),Bruce1,178900.792551709,609
500-1000 ARB Delegation(LARGE),Arrakis Labs,302554.140948338,330
+1000 ARB Delegation(TOP WALLETS),丰密kuiqian.eth,10013789.3801407,1201
0-100 ARB Delegation(SMALL),others,9447123.76641296,241563
0-100 ARB Delegation(SMALL),RossDeFi.eth,14508.919155574,471
100-500 ARB Delegation(MEDIUM),TreasureDAO,3275790.98344025,7929
+1000 ARB Delegation(TOP WALLETS),olimpio.eth,113865346.716335,16191
+1000 ARB Delegation(TOP WALLETS),MultiDAO,4819560.65331267,1076
100-500 ARB Delegation(MEDIUM),others,25364193.7181974,39679
+1000 ARB Delegation(TOP WALLETS),DefragDAO,5942124.82784515,892
+1000 ARB Delegation(TOP WALLETS),PrimapesDAO,7619856.23145965,1251
500-1000 ARB Delegation(LARGE),George Beall,874696.014477491,655
100-500 ARB Delegation(MEDIUM),Snapshot Labs,165865.634466687,262
+1000 ARB Delegation(TOP WALLETS),Griff Green,19217503.2880608,898
0-100 ARB Delegation(SMALL),McFly,8873.337470519,270
0-100 ARB Delegation(SMALL),404 DAO,43356.734413421,1546
+1000 ARB Delegation(TOP WALLETS),Tally - Ultra,5107846.00871831,750
+1000 ARB Delegation(TOP WALLETS),cygninae.eth,2695096.5608626,20
0-100 ARB Delegation(SMALL),Utopia Labs,25350.178196997,806
0-100 ARB Delegation(SMALL),StableLab,25730.645212105,578
+1000 ARB Delegation(TOP WALLETS),powerkee.eth,614565.24,250
+1000 ARB Delegation(TOP WALLETS),litocoen,25801280.223601,1506
500-1000 ARB Delegation(LARGE),The Lost Donkeys & Build,761960.164134954,912
