DELEGATE,GOVERNOR,FOR,AGAINST,ABSTAIN,VOTES,DELEGATE_POWER,PERCENT_QUORUM
0x0eb5b03c0303f2f47cd81d7be4275af8ed347576,Arbitrum Treasury,10,1,1,12,30525771.9710468,39.783359795
0x0eb5b03c0303f2f47cd81d7be4275af8ed347576,Arbitrum Core,8,"null","null",8,30525771.9710468,23.870638076
0xf4b0556b9b6f53e00a1fdd2b0478ce841991d8fa,Arbitrum Core,8,4,"null",12,27047036.5833503,21.150325761
0xf4b0556b9b6f53e00a1fdd2b0478ce841991d8fa,Arbitrum Treasury,10,3,1,14,27047036.5833503,35.249624115
0x1b686ee8e31c5959d9f5bbd8122a58682788eead,Arbitrum Core,8,"null","null",8,18962762.1097874,14.828559673
0x1b686ee8e31c5959d9f5bbd8122a58682788eead,Arbitrum Treasury,9,1,"null",10,18962762.1097874,24.713621934
0x2ef27b114917dd53f8633440a7c0328fef132e2f,Arbitrum Core,6,"null","null",6,16344212.303937,12.780897954
0x2ef27b114917dd53f8633440a7c0328fef132e2f,Arbitrum Treasury,5,2,"null",7,16344212.303937,21.300941358
0xbbe98d590d7eb99f4a236587f2441826396053d3,Arbitrum Core,8,"null","null",7,14085597.1473332,11.014699052
0xbbe98d590d7eb99f4a236587f2441826396053d3,Arbitrum Treasury,5,2,"null",6,14085597.1473332,18.357353248
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,Arbitrum Treasury,9,1,"null",10,12260897.3689252,15.979274559
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,Arbitrum Core,8,"null","null",8,12260897.3689252,9.587814646
0x190473b3071946df65306989972706a4c006a561,Arbitrum Treasury,5,1,1,7,10670317.7260596,13.906317902
0x190473b3071946df65306989972706a4c006a561,Arbitrum Core,5,1,"null",6,10670317.7260596,8.344008231
0x2e3bef6830ae84bb4225d318f9f61b6b88c147bf,Arbitrum Treasury,3,1,"null",4,9136417.93500406,11.907230464
0x2e3bef6830ae84bb4225d318f9f61b6b88c147bf,Arbitrum Core,3,"null","null",3,9136417.93500406,7.144524503
0xe48c655276c23f1534ae2a87a2bf8a8a6585df70,Arbitrum Core,4,"null","null",4,8753569.55144502,6.845143534
0xe48c655276c23f1534ae2a87a2bf8a8a6585df70,Arbitrum Treasury,1,"null","null",1,8753569.55144502,11.408275188
0xa5df0cf3f95c6cd97d998b9d990a86864095d9b0,Arbitrum Treasury,8,2,1,11,8418350.59434032,10.971393972
0xa5df0cf3f95c6cd97d998b9d990a86864095d9b0,Arbitrum Core,7,1,"null",8,8418350.59434032,6.583007972
0x11cd09a0c5b1dc674615783b0772a9bfd53e3a8f,Arbitrum Treasury,4,"null",1,5,8153264.72913223,10.625915195
0x11cd09a0c5b1dc674615783b0772a9bfd53e3a8f,Arbitrum Core,3,"null","null",3,8153264.72913223,6.375715303
0xb933aee47c438f22de0747d57fc239fe37878dd1,Arbitrum Treasury,3,2,1,6,7557121.94418303,9.848979466
0xb933aee47c438f22de0747d57fc239fe37878dd1,Arbitrum Core,3,"null","null",3,7557121.94418303,5.909541714
0xad16ebe6ffc7d96624a380f394cd64395b0c6144,Arbitrum Treasury,8,1,1,10,7452701.72824793,9.712891605
0xad16ebe6ffc7d96624a380f394cd64395b0c6144,Arbitrum Core,5,"null","null",5,7452701.72824793,5.827886869
0x8f73be66ca8c79382f72139be03746343bf5faa0,Arbitrum Treasury,2,"null","null",2,7142970.42258418,9.309227711
0x8f73be66ca8c79382f72139be03746343bf5faa0,Arbitrum Core,2,"null","null",2,7142970.42258418,5.58568222
0xd333bc5c9670c9ceb18f9a2cf02c6e86807a8227,Arbitrum Treasury,9,1,"null",10,7110854.19645643,9.267371558
0xd333bc5c9670c9ceb18f9a2cf02c6e86807a8227,Arbitrum Core,7,"null","null",7,7110854.19645643,5.560567873
0xb5b069370ef24bc67f114e185d185063ce3479f8,Arbitrum Core,8,4,"null",12,7037094.58579092,5.502889104
