TIMESPAN,DELEGATES,DELEGATORS,NEW_BALANCES,PREVIOUS_BALANCES,DEL_BALANCES,AVG_DEL_BALANCE,AMOUNT_DELEGATED,CIRCULATING_SUPPLY,TOTAL_SUPPLY,PERCENT_DELEGATED
2023-03-20 00:00:00.000,127208,232942,1304314877822.7,1304104148493.72,210729328.980208,385.98437774,210729328.980208,1537398145,10000000000,13.706880658
2023-03-27 00:00:00.000,59411,112569,1481351178200.8,1481342588688.55,8589512.25332126,28.206077797,219318841.233529,1537398145,10000000000,14.265585135
2023-04-03 00:00:00.000,33716,64903,705203400733.155,705198821391.046,4579342.10916508,30.210927036,223898183.342694,1537398145,10000000000,14.563448256
2023-04-10 00:00:00.000,35581,64342,642304537307.377,642329910393.999,-25373086.6215341,-162.854691349,198525096.72116,1537398145,10000000000,12.913056866
2023-04-17 00:00:00.000,25783,50339,461884192455.286,461906886541.486,-22694086.2005663,-190.907139437,175831010.520594,1537398145,10000000000,11.436920949
2023-04-24 00:00:00.000,22637,41918,318702801120.016,318706882004.971,-4080884.95421618,-43.762841332,171750125.566378,1537398145,10000000000,11.171479953
2023-05-01 00:00:00.000,15119,36576,707207396991.792,707211015659.943,-3618668.15039132,-22.993773831,168131457.415987,1537398145,10000000000,10.93610383
2023-05-08 00:00:00.000,13502,29146,318526018542.129,318527514047.585,-1495505.45588117,-18.092907508,166635951.960105,1537398145,10000000000,10.838828738
2023-05-15 00:00:00.000,13321,25250,167875961838.848,167877177452.542,-1215613.69407412,-23.284496218,165420338.266031,1537398145,10000000000,10.759759195
2023-05-22 00:00:00.000,12009,22537,145408067042.371,145407112538.376,954503.994812145,21.357857171,166374842.260843,1537398145,10000000000,10.821844868
2023-05-29 00:00:00.000,10598,18531,183079824294.123,182970521617.681,109302676.442234,2746.160405061,275677518.703077,1537398145,10000000000,17.931433025
2023-06-05 00:00:00.000,11739,20638,229655927442.101,229653995424.382,1932017.71826947,42.983396776,277609536.421347,1537398145,10000000000,18.057101039
2023-06-12 00:00:00.000,12093,18822,182228743484.65,182214317313.631,14426171.0192379,368.918039567,292035707.440584,1537398145,10000000000,18.995450748
2023-06-19 00:00:00.000,11538,20138,196347894086.441,196347912254.306,-18167.865902792,-0.4637617333,292017539.574682,1537398145,10000000000,18.99426902
2023-06-26 00:00:00.000,10411,17079,171508661817.345,171509052378.191,-390560.84657896,-10.769635918,291626978.728103,1537398145,10000000000,18.968865006
2023-07-03 00:00:00.000,9228,15234,143901817432.061,143904364247.773,-2546815.71175016,-83.961880188,289080163.016353,1537398145,10000000000,18.803207481
2023-07-10 00:00:00.000,9759,17043,158139412314.299,158137653507.739,1758806.56002411,49.678187776,290838969.576377,1537398145,10000000000,18.917608983
