PROPOSAL_ID,DATE_CREATED,TITLE,PROPOSER,FOR,AGAINST,ABSTAIN,VOTES,VOTING_POWER,QUORUM
0x938268e18067861a530c1e6d8f087baa2bfd7b743f7c2febc7c243cfd4fc125d,2023-01-20 00:00:00.000,Implement Vesta Saving Module,0x5f153a7d31b315167fe41da83acba1ca7f86e91d,13984,974,816,15415,275448,250000
0x5887b4d9ca353bb8af8e73518299f2d602a3e9b5e5de42e1ac3b3892d1834720,2022-12-03 00:00:00.000,Remove GMX Performance Fee,0x5f153a7d31b315167fe41da83acba1ca7f86e91d,11258,1371,199,12524,439621,250000
0x6015a11a333729d7f126482ab3b8537143d75e457421bb7513982d219bfe8458,2023-03-28 00:00:00.000,Adding $ARB as a new collateral,0x5f153a7d31b315167fe41da83acba1ca7f86e91d,9144,1108,"null",9918,338241,250000
0x50f25e6c1fe09f2edc45fb7770f2ed532e7bf505d6ee9b11fcf64759f80f46b4,2023-04-14 00:00:00.000,Adding $wstETH as a new collateral,0x5f153a7d31b315167fe41da83acba1ca7f86e91d,8415,936,"null",9296,398234,250000
0x02ada853586a9fa9b8917952aa88c4dea2cd935d4282b9bf6edaa39301d8ec98,2022-11-03 00:00:00.000,Implementing Vesta Reference Rate,0x5f153a7d31b315167fe41da83acba1ca7f86e91d,5963,274,169,6252,336348,250000
0xff80bc37d587a81b4e3749d4e06138096835a5aa94db9031bba682a3470015d9,2023-05-07 00:00:00.000,SIP-46: Add SPA/USDs and USDs/USDC Camelot farms to be launched by Demeter to the SPA gauge and reallocate the bribes,0xf005329d4e8cd0d4f908542289fca04960ab49ff,4954,917,"null",5688,605454498,200000000
0x54fa8ed9147096b548f5a7b1bcdb8a674070c895a8c22480c41adcc79be44a16,2023-04-17 00:00:00.000,SIP-41: Proposal to move veSPA from Ethereum to Arbitrum,0xf005329d4e8cd0d4f908542289fca04960ab49ff,4868,1011,"null",5611,518994024,200000000
0xe7892e1d5697797526f3198167e97a4db00c34bf8dd5a44456fe4b9438200004,2023-04-17 00:00:00.000,SIP-42 Add arUSD-USDs farm to the SPA Gauge,0xf005329d4e8cd0d4f908542289fca04960ab49ff,4770,923,"null",5485,451211921,200000000
0x381c007c5d0b05adc5eb7fc5daddf3164c6d24a0c51b163046f1192f7a67fced,2023-05-22 00:00:00.000,SIP-47: Add rEth-USDs farm to the SPA Gauge,0xf005329d4e8cd0d4f908542289fca04960ab49ff,3943,961,"null",4809,435267111,200000000
0xd099883287186dda8a741859d270a2c88912f125ed83477f21cc5d4b4e88c0b8,2023-04-30 00:00:00.000,SIP-43: Add L2DAO-USDs farm to the SPA Gauge,0xf005329d4e8cd0d4f908542289fca04960ab49ff,3463,1269,"null",4491,459176628,200000000
0xf3ebdb8d4a22d7a16f617ac726c00ea7e06a49640e08257c4d1245c39cf4e02f,2022-07-06 00:00:00.000,Will ETH close above or below 3409 USD at July 30 2022 00:00:00 UTC,0x6d4ca4bfd6a478a6997c5d898f431537f401283c,2226,2172,"null",4398,4395,200
0x0cb134b52cec56fcb9d7a662e5950d893857285bd41289861ca32692f6d23e6d,2023-03-22 00:00:00.000,issue $SHELL airdrop & launch toucan staking,0x3bb1db7eed4b388f646cad3a11d685920c0c24bb,4482,92,"null",4396,1523313,10000
0x5630bf93419ce150207c1fac8cd1d3920c35d6c97a187200f3e5a4b713737733,2023-04-30 00:00:00.000,SIP-44: Add USD+/USDs farm to the SPA Gauge,0xf005329d4e8cd0d4f908542289fca04960ab49ff,3372,1156,"null",4335,444288211,200000000
0x2c6fedc97c378e5221d41ccfd017604f16bd89450b33ef2ca0e67664b382a10c,2023-04-30 00:00:00.000,SIP-45: Add LODE-USDs farm to the SPA Gauge,0xf005329d4e8cd0d4f908542289fca04960ab49ff,3340,1069,"null",4301,444297592,200000000
