TIMESPAN,VOTE_OPTION,VOTERS,CUMUL_VOTERS,VOTES,CUMUL_VOTES,VOTING_POWER,CUMUL_VOTING_POWER
2023-03-26 00:00:00.000,For,97,97,148,148,"null","null"
2023-03-26 00:00:00.000,Against,17,17,25,25,"null","null"
2023-03-26 00:00:00.000,Abstain,10,10,12,12,"null","null"
2023-03-27 00:00:00.000,Abstain,327,337,387,399,"null","null"
2023-03-27 00:00:00.000,For,10543,10640,18569,18717,"null","null"
2023-03-27 00:00:00.000,Against,597,614,732,757,"null","null"
2023-03-28 00:00:00.000,For,4538,15178,7923,26640,"null","null"
2023-03-28 00:00:00.000,Against,527,1141,650,1407,"null","null"
2023-03-28 00:00:00.000,Abstain,224,561,261,660,"null","null"
2023-03-29 00:00:00.000,Against,417,1558,540,1947,"null","null"
2023-03-29 00:00:00.000,For,3043,18221,5344,31984,"null","null"
2023-03-29 00:00:00.000,Abstain,141,702,159,819,"null","null"
2023-03-30 00:00:00.000,For,4932,23153,8432,40416,"null","null"
2023-03-30 00:00:00.000,Against,565,2123,721,2668,"null","null"
2023-03-30 00:00:00.000,Abstain,188,890,209,1028,"null","null"
2023-03-31 00:00:00.000,Against,405,2528,490,3158,"null","null"
2023-03-31 00:00:00.000,Abstain,102,992,117,1145,"null","null"
2023-03-31 00:00:00.000,For,2256,25409,3725,44141,"null","null"
2023-04-01 00:00:00.000,Abstain,76,1068,86,1231,"null","null"
2023-04-01 00:00:00.000,For,1769,27178,2668,46809,"null","null"
2023-04-01 00:00:00.000,Against,223,2751,292,3450,"null","null"
2023-04-02 00:00:00.000,Abstain,116,1184,124,1355,"null","null"
2023-04-02 00:00:00.000,For,1495,28673,2236,49045,"null","null"
2023-04-02 00:00:00.000,Against,768,3519,1222,4672,"null","null"
2023-04-03 00:00:00.000,Abstain,90,1274,119,1474,"null","null"
2023-04-03 00:00:00.000,Against,669,4188,1037,5709,"null","null"
2023-04-03 00:00:00.000,For,1009,29682,1529,50574,"null","null"
2023-04-04 00:00:00.000,Abstain,84,1358,93,1567,"null","null"
2023-04-04 00:00:00.000,Against,474,4662,691,6400,"null","null"
2023-04-04 00:00:00.000,For,1014,30696,1349,51923,"null","null"
2023-04-05 00:00:00.000,Abstain,32,1390,34,1601,"null","null"
2023-04-05 00:00:00.000,Against,177,4839,231,6631,"null","null"
2023-04-05 00:00:00.000,For,735,31431,1260,53183,"null","null"
2023-04-06 00:00:00.000,Abstain,66,1456,75,1676,"null","null"
2023-04-06 00:00:00.000,For,415,31846,626,53809,"null","null"
2023-04-06 00:00:00.000,Against,427,5266,730,7361,"null","null"
2023-04-07 00:00:00.000,Abstain,39,1495,44,1720,"null","null"
2023-04-07 00:00:00.000,For,296,32142,434,54243,"null","null"
2023-04-07 00:00:00.000,Against,176,5442,250,7611,"null","null"
2023-04-08 00:00:00.000,Abstain,32,1527,36,1756,"null","null"
2023-04-08 00:00:00.000,For,465,32607,678,54921,"null","null"
2023-04-08 00:00:00.000,Against,139,5581,190,7801,"null","null"
2023-04-09 00:00:00.000,Abstain,23,1550,26,1782,"null","null"
2023-04-09 00:00:00.000,Against,228,5809,319,8120,"null","null"
2023-04-09 00:00:00.000,For,549,33156,862,55783,"null","null"
2023-04-10 00:00:00.000,Abstain,1,1551,2,1784,"null","null"
2023-04-10 00:00:00.000,Against,15,5824,23,8143,"null","null"
2023-04-10 00:00:00.000,For,136,33292,250,56033,"null","null"
2023-06-09 00:00:00.000,Abstain,69,1620,71,1855,"null","null"
2023-06-09 00:00:00.000,For,497,33789,772,56805,"null","null"
2023-06-09 00:00:00.000,Against,38,5862,39,8182,"null","null"
2023-06-10 00:00:00.000,Abstain,1460,3080,1513,3368,"null","null"
2023-06-10 00:00:00.000,Against,494,6356,503,8685,"null","null"
2023-06-10 00:00:00.000,For,9727,43516,13123,69928,"null","null"
2023-06-11 00:00:00.000,For,13365,56881,23791,93719,"null","null"
2023-06-11 00:00:00.000,Abstain,2197,5277,2336,5704,"null","null"
2023-06-11 00:00:00.000,Against,1298,7654,1404,10089,"null","null"
2023-06-12 00:00:00.000,For,8284,65165,15553,109272,"null","null"
2023-06-12 00:00:00.000,Against,816,8470,947,11036,"null","null"
2023-06-12 00:00:00.000,Abstain,1041,6318,1134,6838,"null","null"
2023-06-13 00:00:00.000,Abstain,1078,7396,1170,8008,"null","null"
2023-06-13 00:00:00.000,For,6725,71890,12850,122122,"null","null"
2023-06-13 00:00:00.000,Against,1177,9647,1353,12389,"null","null"
2023-06-14 00:00:00.000,Abstain,744,8140,792,8800,"null","null"
2023-06-14 00:00:00.000,For,6942,78832,13603,135725,"null","null"
2023-06-14 00:00:00.000,Against,1717,11364,2177,14566,"null","null"
2023-06-15 00:00:00.000,Against,1179,12543,1679,16245,"null","null"
2023-06-15 00:00:00.000,Abstain,447,8587,505,9305,"null","null"
2023-06-15 00:00:00.000,For,4713,83545,9257,144982,"null","null"
2023-06-16 00:00:00.000,Against,433,12976,509,16754,"null","null"
2023-06-16 00:00:00.000,Abstain,408,8995,439,9744,"null","null"
2023-06-16 00:00:00.000,For,2415,85960,5194,150176,"null","null"
2023-06-17 00:00:00.000,Against,160,13136,190,16944,"null","null"
2023-06-17 00:00:00.000,For,1715,87675,2967,153143,"null","null"
2023-06-17 00:00:00.000,Abstain,300,9295,334,10078,"null","null"
2023-06-18 00:00:00.000,For,849,88524,1637,154780,"null","null"
2023-06-18 00:00:00.000,Against,74,13210,129,17073,"null","null"
2023-06-18 00:00:00.000,Abstain,182,9477,241,10319,"null","null"
2023-06-19 00:00:00.000,For,1080,89604,2105,156885,"null","null"
2023-06-19 00:00:00.000,Against,159,13369,170,17243,"null","null"
2023-06-19 00:00:00.000,Abstain,193,9670,198,10517,"null","null"
2023-06-20 00:00:00.000,For,1006,90610,2141,159026,"null","null"
2023-06-20 00:00:00.000,Against,89,13458,102,17345,"null","null"
2023-06-20 00:00:00.000,Abstain,140,9810,153,10670,"null","null"
2023-06-21 00:00:00.000,For,815,91425,1691,160717,"null","null"
2023-06-21 00:00:00.000,Against,100,13558,129,17474,"null","null"
2023-06-21 00:00:00.000,Abstain,220,10030,253,10923,"null","null"
2023-06-22 00:00:00.000,Abstain,351,10381,366,11289,"null","null"
2023-06-22 00:00:00.000,Against,180,13738,207,17681,"null","null"
