PROPOSER,NAME,PROPOSALS
0x1b686ee8e31c5959d9f5bbd8122a58682788eead,arbitrumfoundation.eth,65
0x6d4ca4bfd6a478a6997c5d898f431537f401283c,bytedust.eth,34
0x23e41ddf0320761db3d772eab23421cfefb384a2,equilibria-xeqb.eth,30
0x9ece8b44eef88f88db4775a3128afab4357cba2f,shellprotocol.eth,28
0x5be0fee0f748c1737793172d42c14e4810d2038e,radiantcapital.eth,22
0x8f48c21afff11123e92cda5eca849da404f5cf46,chentutu.eth,21
0x49370ba303b24e0b54de6a54a4c6d3bf2e9e5700,lodestarfinance.eth,21
0x23e41ddf0320761db3d772eab23421cfefb384a2,gauges.equilibria-xeqb.eth,20
0xf4b0556b9b6f53e00a1fdd2b0478ce841991d8fa,arbitrumfoundation.eth,20
0xf005329d4e8cd0d4f908542289fca04960ab49ff,speraxdao.eth,20
﻿
